graph_id;vertices;edges;algorithm;total_cost;operations_count;execution_time_ms
1;5;10;Prim;18;4;1,684
1;5;10;Kruskal;18;15;1,013
2;10;25;Prim;43;13;0,073
2;10;25;Kruskal;43;53;0,132
3;15;38;Prim;65;19;0,152
3;15;38;Kruskal;65;98;0,157
4;20;50;Prim;94;30;0,105
4;20;50;Kruskal;94;127;0,116
5;25;62;Prim;145;31;0,123
5;25;62;Kruskal;145;134;0,284
6;50;125;Prim;286;114;0,702
6;50;125;Kruskal;286;495;0,358
7;75;188;Prim;390;158;0,642
7;75;188;Kruskal;390;742;0,578
8;100;250;Prim;529;233;0,366
8;100;250;Kruskal;529;1061;0,482
9;125;312;Prim;680;281;0,375
9;125;312;Kruskal;680;1252;0,593
10;150;375;Prim;694;342;0,485
10;150;375;Kruskal;694;1570;0,698
11;175;438;Prim;910;438;0,494
11;175;438;Kruskal;910;2078;0,810
12;200;500;Prim;1079;473;0,511
12;200;500;Kruskal;1079;2184;1,424
13;225;562;Prim;1023;498;0,872
13;225;562;Kruskal;1023;2423;2,009
14;250;625;Prim;1268;581;0,813
14;250;625;Kruskal;1268;2817;0,830
15;275;688;Prim;1434;650;0,945
15;275;688;Kruskal;1434;3015;1,355
16;300;750;Prim;1524;698;0,860
16;300;750;Kruskal;1524;3310;1,166
17;350;875;Prim;1944;828;1,111
17;350;875;Kruskal;1944;3965;1,198
18;400;1000;Prim;2075;933;0,972
18;400;1000;Kruskal;2075;4376;0,971
19;450;1125;Prim;2352;1088;0,815
19;450;1125;Kruskal;2352;5331;0,890
20;500;1250;Prim;2351;1082;1,473
20;500;1250;Kruskal;2351;5360;1,718
21;550;1375;Prim;2741;1372;1,556
21;550;1375;Kruskal;2741;6536;1,535
22;600;1500;Prim;3023;1411;1,531
22;600;1500;Kruskal;3023;6476;1,528
23;700;1750;Prim;3523;1656;2,001
23;700;1750;Kruskal;3523;7638;1,961
24;800;2000;Prim;4273;1994;1,944
24;800;2000;Kruskal;4273;9134;2,349
25;900;2250;Prim;4625;2245;3,091
25;900;2250;Kruskal;4625;10814;2,666
26;1300;3250;Prim;6695;3245;5,733
26;1300;3250;Kruskal;6695;15150;4,277
27;1600;4000;Prim;8561;3956;2,554
27;1600;4000;Kruskal;8561;18838;5,186
28;2000;5000;Prim;10367;4909;3,185
28;2000;5000;Kruskal;10367;23760;5,790
